{'episode' 1, 'episode_time_secs' '3.91670298576355', 'episode_steps' '144', 'episode_reward' 0.0, 'reward_min' 0.0, 'reward_max' 0.0, 'reward_avg_by_step' 0.0, 'value_avg' -0.004148183, 'training_time' 3.91670298576355, 'training_steps' '1428'}
{'episode' 17, 'episode_time_secs' '2.0931310653686523', 'episode_steps' '154', 'episode_reward' 1.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.006493506493506494, 'value_avg' 0.45574027, 'training_time' 43.62572479248047, 'training_steps' '14720'}
{'episode' 18, 'episode_time_secs' '3.840602159500122', 'episode_steps' '253', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015810276679841896, 'value_avg' 0.4826955, 'training_time' 47.46632695198059, 'training_steps' '15908'}
{'episode' 19, 'episode_time_secs' '5.162613868713379', 'episode_steps' '328', 'episode_reward' 6.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.018292682926829267, 'value_avg' 0.53797334, 'training_time' 52.62894082069397, 'training_steps' '17540'}
{'episode' 20, 'episode_time_secs' '3.1226799488067627', 'episode_steps' '215', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013953488372093023, 'value_avg' 0.5766394, 'training_time' 55.75162076950073, 'training_steps' '18603'}
{'episode' 21, 'episode_time_secs' '2.6867246627807617', 'episode_steps' '190', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010526315789473684, 'value_avg' 0.6041445, 'training_time' 58.438345432281494, 'training_steps' '19551'}
{'episode' 22, 'episode_time_secs' '3.2325081825256348', 'episode_steps' '220', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013636363636363636, 'value_avg' 0.6324677, 'training_time' 61.67085361480713, 'training_steps' '20520'}
{'episode' 23, 'episode_time_secs' '3.3481452465057373', 'episode_steps' '230', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013043478260869565, 'value_avg' 0.6581766, 'training_time' 65.01899886131287, 'training_steps' '21626'}
{'episode' 24, 'episode_time_secs' '4.0425097942352295', 'episode_steps' '278', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017985611510791366, 'value_avg' 0.6831709, 'training_time' 69.0615086555481, 'training_steps' '22931'}
{'episode' 25, 'episode_time_secs' '3.6549830436706543', 'episode_steps' '252', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015873015873015872, 'value_avg' 0.6990407, 'training_time' 72.71649169921875, 'training_steps' '24140'}
{'episode' 26, 'episode_time_secs' '4.566375255584717', 'episode_steps' '279', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017921146953405017, 'value_avg' 0.71434385, 'training_time' 77.28286695480347, 'training_steps' '25511'}
{'episode' 27, 'episode_time_secs' '3.4341323375701904', 'episode_steps' '213', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014084507042253521, 'value_avg' 0.7262306, 'training_time' 80.71699929237366, 'training_steps' '26538'}
{'episode' 28, 'episode_time_secs' '3.4247469902038574', 'episode_steps' '226', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01327433628318584, 'value_avg' 0.7398192, 'training_time' 84.14174628257751, 'training_steps' '27660'}
{'episode' 29, 'episode_time_secs' '3.6433308124542236', 'episode_steps' '250', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016, 'value_avg' 0.75389034, 'training_time' 87.78507709503174, 'training_steps' '28814'}
{'episode' 30, 'episode_time_secs' '3.261794090270996', 'episode_steps' '222', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013513513513513514, 'value_avg' 0.7648439, 'training_time' 91.04687118530273, 'training_steps' '29892'}
{'episode' 31, 'episode_time_secs' '3.1933908462524414', 'episode_steps' '215', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013953488372093023, 'value_avg' 0.7742924, 'training_time' 94.24026203155518, 'training_steps' '30958'}
{'episode' 32, 'episode_time_secs' '3.2698190212249756', 'episode_steps' '219', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.0136986301369863, 'value_avg' 0.7824578, 'training_time' 97.51008105278015, 'training_steps' '31973'}
{'episode' 33, 'episode_time_secs' '3.035048007965088', 'episode_steps' '191', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010471204188481676, 'value_avg' 0.78649974, 'training_time' 100.54512906074524, 'training_steps' '32885'}
{'episode' 34, 'episode_time_secs' '3.5856997966766357', 'episode_steps' '215', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013953488372093023, 'value_avg' 0.79135025, 'training_time' 104.13082885742188, 'training_steps' '33942'}
{'episode' 35, 'episode_time_secs' '3.883094072341919', 'episode_steps' '248', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016129032258064516, 'value_avg' 0.79924864, 'training_time' 108.0139229297638, 'training_steps' '35097'}
{'episode' 36, 'episode_time_secs' '3.986644983291626', 'episode_steps' '250', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016, 'value_avg' 0.8106271, 'training_time' 112.00056791305542, 'training_steps' '36300'}
{'episode' 37, 'episode_time_secs' '3.2198610305786133', 'episode_steps' '213', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014084507042253521, 'value_avg' 0.8245532, 'training_time' 115.22042894363403, 'training_steps' '37332'}
{'episode' 38, 'episode_time_secs' '3.743025064468384', 'episode_steps' '248', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016129032258064516, 'value_avg' 0.836021, 'training_time' 118.96345400810242, 'training_steps' '38534'}
{'episode' 39, 'episode_time_secs' '3.361708164215088', 'episode_steps' '218', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013761467889908258, 'value_avg' 0.8457707, 'training_time' 122.3251621723175, 'training_steps' '39591'}
{'episode' 40, 'episode_time_secs' '3.760558843612671', 'episode_steps' '243', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01646090534979424, 'value_avg' 0.8525482, 'training_time' 126.08572101593018, 'training_steps' '40756'}
{'episode' 41, 'episode_time_secs' '3.8952322006225586', 'episode_steps' '250', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016, 'value_avg' 0.8641358, 'training_time' 129.98095321655273, 'training_steps' '41971'}
{'episode' 42, 'episode_time_secs' '4.496351957321167', 'episode_steps' '256', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015625, 'value_avg' 0.8790456, 'training_time' 134.4773051738739, 'training_steps' '43225'}
{'episode' 43, 'episode_time_secs' '4.30684494972229', 'episode_steps' '251', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01593625498007968, 'value_avg' 0.8881414, 'training_time' 138.7841501235962, 'training_steps' '44519'}
{'episode' 44, 'episode_time_secs' '4.054996013641357', 'episode_steps' '254', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015748031496062992, 'value_avg' 0.8883234, 'training_time' 142.83914613723755, 'training_steps' '45621'}
{'episode' 45, 'episode_time_secs' '3.889025926589966', 'episode_steps' '254', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015748031496062992, 'value_avg' 0.8869557, 'training_time' 146.72817206382751, 'training_steps' '46903'}
{'episode' 46, 'episode_time_secs' '3.4092159271240234', 'episode_steps' '221', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013574660633484163, 'value_avg' 0.8870864, 'training_time' 150.13738799095154, 'training_steps' '47896'}
{'episode' 47, 'episode_time_secs' '3.9988439083099365', 'episode_steps' '254', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015748031496062992, 'value_avg' 0.88802147, 'training_time' 154.13623189926147, 'training_steps' '49154'}
{'episode' 48, 'episode_time_secs' '3.448817253112793', 'episode_steps' '223', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013452914798206279, 'value_avg' 0.8938358, 'training_time' 157.58504915237427, 'training_steps' '50248'}
{'episode' 49, 'episode_time_secs' '4.276371955871582', 'episode_steps' '251', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01593625498007968, 'value_avg' 0.9002953, 'training_time' 161.86142110824585, 'training_steps' '51477'}
{'episode' 50, 'episode_time_secs' '5.058410167694092', 'episode_steps' '283', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.0176678445229682, 'value_avg' 0.90130657, 'training_time' 166.91983127593994, 'training_steps' '52834'}
{'episode' 51, 'episode_time_secs' '4.004236221313477', 'episode_steps' '250', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016, 'value_avg' 0.90400934, 'training_time' 170.92406749725342, 'training_steps' '54054'}
{'episode' 52, 'episode_time_secs' '3.9223999977111816', 'episode_steps' '246', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016260162601626018, 'value_avg' 0.9053644, 'training_time' 174.8464674949646, 'training_steps' '55248'}
{'episode' 53, 'episode_time_secs' '4.511045217514038', 'episode_steps' '273', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.018315018315018316, 'value_avg' 0.9062781, 'training_time' 179.35751271247864, 'training_steps' '56552'}
{'episode' 54, 'episode_time_secs' '4.761165142059326', 'episode_steps' '302', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016556291390728478, 'value_avg' 0.9047197, 'training_time' 184.11867785453796, 'training_steps' '57996'}
{'episode' 55, 'episode_time_secs' '4.376836776733398', 'episode_steps' '263', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015209125475285171, 'value_avg' 0.9096004, 'training_time' 188.49551463127136, 'training_steps' '59256'}
{'episode' 56, 'episode_time_secs' '4.932749032974243', 'episode_steps' '288', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017361111111111112, 'value_avg' 0.90890163, 'training_time' 193.4282636642456, 'training_steps' '60686'}
{'episode' 57, 'episode_time_secs' '4.301181077957153', 'episode_steps' '251', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01593625498007968, 'value_avg' 0.9109274, 'training_time' 197.72944474220276, 'training_steps' '61912'}
{'episode' 58, 'episode_time_secs' '5.068928956985474', 'episode_steps' '316', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015822784810126583, 'value_avg' 0.9132451, 'training_time' 202.79837369918823, 'training_steps' '63457'}
{'episode' 59, 'episode_time_secs' '4.3588268756866455', 'episode_steps' '275', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014545454545454545, 'value_avg' 0.9184848, 'training_time' 207.15720057487488, 'training_steps' '64772'}
{'episode' 60, 'episode_time_secs' '4.263894081115723', 'episode_steps' '256', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015625, 'value_avg' 0.9230592, 'training_time' 211.4210946559906, 'training_steps' '65936'}
{'episode' 61, 'episode_time_secs' '3.621030330657959', 'episode_steps' '226', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01327433628318584, 'value_avg' 0.9247831, 'training_time' 215.04212498664856, 'training_steps' '67085'}
{'episode' 62, 'episode_time_secs' '4.407224178314209', 'episode_steps' '252', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015873015873015872, 'value_avg' 0.9254214, 'training_time' 219.44934916496277, 'training_steps' '68224'}
{'episode' 63, 'episode_time_secs' '4.461598873138428', 'episode_steps' '264', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015151515151515152, 'value_avg' 0.9309409, 'training_time' 223.9109480381012, 'training_steps' '69569'}
{'episode' 64, 'episode_time_secs' '5.459503173828125', 'episode_steps' '337', 'episode_reward' 6.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017804154302670624, 'value_avg' 0.9301284, 'training_time' 229.37045121192932, 'training_steps' '71182'}
{'episode' 65, 'episode_time_secs' '3.7715070247650146', 'episode_steps' '232', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01293103448275862, 'value_avg' 0.9310231, 'training_time' 233.14195823669434, 'training_steps' '72284'}
{'episode' 66, 'episode_time_secs' '3.987673282623291', 'episode_steps' '244', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01639344262295082, 'value_avg' 0.9305992, 'training_time' 237.12963151931763, 'training_steps' '73478'}
{'episode' 67, 'episode_time_secs' '4.74861216545105', 'episode_steps' '297', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016835016835016835, 'value_avg' 0.92980766, 'training_time' 241.87824368476868, 'training_steps' '74954'}
{'episode' 68, 'episode_time_secs' '4.208590984344482', 'episode_steps' '250', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016, 'value_avg' 0.9329086, 'training_time' 246.08683466911316, 'training_steps' '76175'}
{'episode' 69, 'episode_time_secs' '4.640057802200317', 'episode_steps' '259', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015444015444015444, 'value_avg' 0.9398149, 'training_time' 250.72689247131348, 'training_steps' '77520'}
{'episode' 70, 'episode_time_secs' '4.362436056137085', 'episode_steps' '252', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015873015873015872, 'value_avg' 0.94472414, 'training_time' 255.08932852745056, 'training_steps' '78688'}
{'episode' 71, 'episode_time_secs' '4.132642030715942', 'episode_steps' '256', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015625, 'value_avg' 0.9441108, 'training_time' 259.2219705581665, 'training_steps' '80017'}
{'episode' 72, 'episode_time_secs' '3.558525323867798', 'episode_steps' '219', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.0136986301369863, 'value_avg' 0.9456205, 'training_time' 262.7804958820343, 'training_steps' '81042'}
{'episode' 73, 'episode_time_secs' '4.4769110679626465', 'episode_steps' '283', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.0176678445229682, 'value_avg' 0.9444835, 'training_time' 267.25740694999695, 'training_steps' '82442'}
{'episode' 74, 'episode_time_secs' '4.8507399559021', 'episode_steps' '299', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016722408026755852, 'value_avg' 0.94861346, 'training_time' 272.10814690589905, 'training_steps' '83868'}
{'episode' 75, 'episode_time_secs' '5.060603141784668', 'episode_steps' '294', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017006802721088437, 'value_avg' 0.95019984, 'training_time' 277.1687500476837, 'training_steps' '85360'}
{'episode' 76, 'episode_time_secs' '4.514107942581177', 'episode_steps' '256', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015625, 'value_avg' 0.9506265, 'training_time' 281.6828579902649, 'training_steps' '86642'}
{'episode' 77, 'episode_time_secs' '4.189013957977295', 'episode_steps' '260', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015384615384615385, 'value_avg' 0.95273733, 'training_time' 285.8718719482422, 'training_steps' '87848'}
{'episode' 78, 'episode_time_secs' '4.484389066696167', 'episode_steps' '281', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017793594306049824, 'value_avg' 0.9525075, 'training_time' 290.35626101493835, 'training_steps' '89232'}
{'episode' 79, 'episode_time_secs' '4.269843101501465', 'episode_steps' '271', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01845018450184502, 'value_avg' 0.9511832, 'training_time' 294.6261041164398, 'training_steps' '90566'}
{'episode' 80, 'episode_time_secs' '3.9847753047943115', 'episode_steps' '248', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016129032258064516, 'value_avg' 0.9481102, 'training_time' 298.61087942123413, 'training_steps' '91814'}
{'episode' 81, 'episode_time_secs' '6.687157392501831', 'episode_steps' '396', 'episode_reward' 7.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017676767676767676, 'value_avg' 0.94944495, 'training_time' 305.29803681373596, 'training_steps' '93752'}
{'episode' 82, 'episode_time_secs' '4.534040927886963', 'episode_steps' '256', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015625, 'value_avg' 0.9504075, 'training_time' 309.8320777416229, 'training_steps' '94946'}
{'episode' 83, 'episode_time_secs' '3.867757797241211', 'episode_steps' '247', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016194331983805668, 'value_avg' 0.9499943, 'training_time' 313.69983553886414, 'training_steps' '96200'}
{'episode' 84, 'episode_time_secs' '3.4718058109283447', 'episode_steps' '213', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014084507042253521, 'value_avg' 0.95225155, 'training_time' 317.1716413497925, 'training_steps' '97189'}
{'episode' 85, 'episode_time_secs' '3.3503589630126953', 'episode_steps' '213', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014084507042253521, 'value_avg' 0.95468366, 'training_time' 320.5220003128052, 'training_steps' '98282'}
{'episode' 86, 'episode_time_secs' '3.372380256652832', 'episode_steps' '214', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014018691588785047, 'value_avg' 0.9561319, 'training_time' 323.894380569458, 'training_steps' '99366'}
{'episode' 87, 'episode_time_secs' '2.975076913833618', 'episode_steps' '184', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010869565217391304, 'value_avg' 0.9574319, 'training_time' 326.8694574832916, 'training_steps' '100296'}
{'episode' 88, 'episode_time_secs' '6.003319978713989', 'episode_steps' '359', 'episode_reward' 6.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.016713091922005572, 'value_avg' 0.9618237, 'training_time' 332.8727774620056, 'training_steps' '102052'}
{'episode' 89, 'episode_time_secs' '2.592417001724243', 'episode_steps' '152', 'episode_reward' 1.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.006578947368421052, 'value_avg' 0.96519405, 'training_time' 335.46519446372986, 'training_steps' '102858'}
{'episode' 90, 'episode_time_secs' '4.472540855407715', 'episode_steps' '259', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015444015444015444, 'value_avg' 0.9648546, 'training_time' 339.9377353191376, 'training_steps' '104118'}
{'episode' 91, 'episode_time_secs' '3.4427132606506348', 'episode_steps' '216', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013888888888888888, 'value_avg' 0.9694066, 'training_time' 343.3804485797882, 'training_steps' '105253'}
{'episode' 92, 'episode_time_secs' '4.372628927230835', 'episode_steps' '267', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.0149812734082397, 'value_avg' 0.9645176, 'training_time' 347.75307750701904, 'training_steps' '106552'}
{'episode' 93, 'episode_time_secs' '4.057612180709839', 'episode_steps' '252', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.015873015873015872, 'value_avg' 0.95905906, 'training_time' 351.8106896877289, 'training_steps' '107788'}
{'episode' 94, 'episode_time_secs' '3.6885488033294678', 'episode_steps' '220', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013636363636363636, 'value_avg' 0.9573359, 'training_time' 355.49923849105835, 'training_steps' '108905'}
{'episode' 95, 'episode_time_secs' '3.0252089500427246', 'episode_steps' '188', 'episode_reward' 2.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.010638297872340425, 'value_avg' 0.96175766, 'training_time' 358.5244474411011, 'training_steps' '109899'}
{'episode' 96, 'episode_time_secs' '4.532440900802612', 'episode_steps' '251', 'episode_reward' 4.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.01593625498007968, 'value_avg' 0.96449876, 'training_time' 363.0568883419037, 'training_steps' '111141'}
{'episode' 97, 'episode_time_secs' '3.8279879093170166', 'episode_steps' '217', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013824884792626729, 'value_avg' 0.9678683, 'training_time' 366.8848762512207, 'training_steps' '112172'}
{'episode' 98, 'episode_time_secs' '3.5335328578948975', 'episode_steps' '213', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.014084507042253521, 'value_avg' 0.967482, 'training_time' 370.4184091091156, 'training_steps' '113249'}
{'episode' 99, 'episode_time_secs' '4.5227210521698', 'episode_steps' '292', 'episode_reward' 5.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.017123287671232876, 'value_avg' 0.9618291, 'training_time' 374.9411301612854, 'training_steps' '114694'}
{'episode' 100, 'episode_time_secs' '3.6491501331329346', 'episode_steps' '229', 'episode_reward' 3.0, 'reward_min' 0.0, 'reward_max' 1.0, 'reward_avg_by_step' 0.013100436681222707, 'value_avg' 0.9595427, 'training_time' 378.59028029441833, 'training_steps' '115768'}
